congress,chamber,bioguide,last_name,state,district,party,votes,agree_pct,predicted_agree,net_trump_vote
0,house,A000055,Aderholt,AL,4,Republican,173,0.976878612716763,0.95581023,63
115,house,A000055,Aderholt,AL,4,R,95,0.968421052631579,0.94634916,63
116,house,A000055,Aderholt,AL,4,R,78,0.987179487179487,0.96733333,63
0,house,A000367,Amash,MI,3,Independent,172,0.656976744186046,0.74891115,9.4
115,house,A000367,Amash,MI,3,R,96,0.541666666666667,0.84738551,9.4
116,house,A000367,Amash,MI,3,I,74,0.797297297297297,0.64539274,9.4
116,house,A000367,Amash,MI,3,R,2,1,0.59582585,9.4
0,house,A000369,Amodei,NV,2,Republican,173,0.971098265895954,0.80665662,12.3
115,house,A000369,Amodei,NV,2,R,94,0.98936170212766,0.87652676,12.3
116,house,A000369,Amodei,NV,2,R,79,0.949367088607595,0.72352,12.3
0,house,A000370,Adams,NC,12,Democrat,172,0.11046511627907,0.12965646,-40
115,house,A000370,Adams,NC,12,D,92,0.173913043478261,0.20378724,-40
116,house,A000370,Adams,NC,12,D,80,0.0375,0.04440607,-40
0,house,A000371,Aguilar,CA,31,Democrat,173,0.173410404624277,0.1974982,-21.1
115,house,A000371,Aguilar,CA,31,D,94,0.276595744680851,0.31386763,-21.1
116,house,A000371,Aguilar,CA,31,D,79,0.0506329113924051,0.0590333,-21.1
0,house,A000372,Allen,GA,12,Republican,176,0.971590909090909,0.87091351,16.2
115,house,A000372,Allen,GA,12,R,95,0.968421052631579,0.90578921,16.2
116,house,A000372,Allen,GA,12,R,81,0.975308641975309,0.83000991,16.2
0,house,A000374,Abraham,LA,5,Republican,145,0.944827586206897,0.94409673,29.4
115,house,A000374,Abraham,LA,5,R,96,0.927083333333333,0.9458395,29.4
116,house,A000374,Abraham,LA,5,R,49,0.979591836734694,0.94068232,29.4
0,house,A000375,Arrington,TX,19,Republican,175,0.965714285714286,0.95658548,49
115,house,A000375,Arrington,TX,19,R,95,0.968421052631579,0.94961009,49
116,house,A000375,Arrington,TX,19,R,80,0.9625,0.96486874,49
0,house,A000376,Allred,TX,32,Democrat,80,0.0625,0.19729689,-1.9
116,house,A000376,Allred,TX,32,D,80,0.0625,0.19729689,-1.9
0,house,A000377,Armstrong,ND,0,Republican,79,0.949367088607595,0.95530619,35.72888837
